# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
0.0001        	9.999963e-01	1.000000e+00	1.000000e+00
0.0002        	9.838526e-01	5.805652e-02	3.655624e-02
0.0003        	3.843636e-01	2.052393e-01	1.816465e-01
0.0004        	2.493103e-01	2.141023e-01	1.758498e-01
0.0005        	2.613109e-01	1.766099e-01	1.547924e-01
0.0006        	2.553869e-01	1.471748e-01	1.256944e-01
0.0007        	2.757443e-01	1.168789e-01	9.988112e-02
0.0008        	3.046853e-01	9.021488e-02	7.674771e-02
0.0009        	3.227092e-01	6.569779e-02	5.541606e-02
0.001         	3.447122e-01	4.311271e-02	3.609624e-02
0.0011        	3.843824e-01	2.263329e-02	1.940391e-02
0.0012        	5.245990e-01	8.578428e-03	9.400070e-03
0.0013        	5.365221e-01	2.035385e-02	1.888535e-02
0.0014        	5.021012e-01	3.687559e-02	3.283694e-02
0.0015        	4.924162e-01	5.032228e-02	4.414892e-02
0.0016        	5.043198e-01	5.930693e-02	5.183144e-02
0.0017        	5.207863e-01	6.411730e-02	5.597085e-02
0.0018        	5.230176e-01	6.042372e-02	5.272933e-02
0.0019        	5.135964e-01	4.991935e-02	4.384006e-02
0.002         	5.177182e-01	3.375908e-02	3.035328e-02
0.0021        	5.281876e-01	1.707280e-02	1.772454e-02
0.0022        	5.418110e-01	1.266877e-02	1.399401e-02
0.0023        	5.155340e-01	2.359432e-02	2.033528e-02
0.0024        	5.021140e-01	3.265996e-02	2.749041e-02
0.0025        	4.906365e-01	3.696372e-02	3.112429e-02
0.0026        	4.957699e-01	3.705489e-02	3.115756e-02
0.0027        	5.035251e-01	3.414518e-02	2.839721e-02
0.0028        	4.874638e-01	2.939539e-02	2.386409e-02
0.0029        	4.577048e-01	2.321129e-02	1.841382e-02
0.003         	4.494172e-01	1.655362e-02	1.300399e-02
0.0031        	4.676166e-01	1.011570e-02	8.786718e-03
0.0032        	4.924301e-01	6.535779e-03	7.495922e-03
0.0033        	4.979237e-01	9.494388e-03	1.030225e-02
0.0034        	4.929062e-01	1.331616e-02	1.354527e-02
0.0035        	4.968275e-01	1.609792e-02	1.575061e-02
0.0036        	5.043971e-01	1.709166e-02	1.657757e-02
0.0037        	4.934675e-01	1.663839e-02	1.622485e-02
0.0038        	4.747368e-01	1.474586e-02	1.466481e-02
0.0039        	4.499101e-01	1.172341e-02	1.246540e-02
0.004         	4.302182e-01	8.717721e-03	1.035033e-02
0.0041        	4.261371e-01	6.724916e-03	8.570517e-03
0.0042        	4.062666e-01	6.233456e-03	7.954615e-03
0.0043        	3.975755e-01	8.481295e-03	8.519243e-03
0.0044        	3.960427e-01	1.079159e-02	9.403611e-03
0.0045        	3.969271e-01	1.206574e-02	9.949979e-03
0.0046        	3.910275e-01	1.232773e-02	9.865400e-03
0.0047        	3.801198e-01	1.178508e-02	9.311718e-03
0.0048        	3.652923e-01	1.065761e-02	8.302284e-03
0.0049        	3.441572e-01	8.971726e-03	7.031946e-03
0.005         	3.289515e-01	7.072225e-03	5.801268e-03
0.0051        	3.270775e-01	5.202975e-03	5.060097e-03
0.0052        	3.418915e-01	3.989171e-03	5.196240e-03
0.0053        	3.628342e-01	3.997819e-03	5.836870e-03
0.0054        	3.765422e-01	4.677004e-03	6.500043e-03
0.0055        	3.818048e-01	5.289556e-03	6.989880e-03
0.0056        	3.856371e-01	5.607732e-03	7.210231e-03
0.0057        	4.146274e-01	5.610804e-03	7.228926e-03
0.0058        	3.889605e-01	5.475874e-03	7.029855e-03
0.0059        	3.696871e-01	5.164178e-03	6.675444e-03
0.006         	3.616031e-01	4.749731e-03	6.272434e-03
0.0061        	3.372660e-01	4.393701e-03	5.946174e-03
0.0062        	3.185132e-01	4.299464e-03	5.734317e-03
0.0063        	3.080072e-01	4.699534e-03	5.676773e-03
0.0064        	3.133445e-01	5.263897e-03	5.618557e-03
0.0065        	3.196182e-01	5.600994e-03	5.463361e-03
0.0066        	3.047403e-01	5.596520e-03	5.259335e-03
0.0067        	2.950921e-01	5.404675e-03	5.012759e-03
0.0068        	2.876431e-01	5.068438e-03	4.797718e-03
0.0069        	2.763339e-01	4.655036e-03	4.615348e-03
0.007         	2.621573e-01	4.164352e-03	4.476951e-03
0.0071        	2.512975e-01	3.662721e-03	4.463208e-03
0.0072        	2.528074e-01	3.271687e-03	4.520223e-03
0.0073        	2.530667e-01	3.142256e-03	4.663206e-03
0.0074        	2.562980e-01	3.159014e-03	4.817589e-03
0.0075        	2.576909e-01	3.265451e-03	4.904625e-03
0.0076        	2.557925e-01	3.378166e-03	4.897548e-03
0.0077        	2.521148e-01	3.436430e-03	4.825377e-03
0.0078        	2.430442e-01	3.436809e-03	4.736301e-03
0.0079        	2.352974e-01	3.427217e-03	4.641204e-03
0.008         	2.283873e-01	3.428406e-03	4.521163e-03
0.0081        	2.195665e-01	3.421710e-03	4.382226e-03
0.0082        	2.126614e-01	3.387232e-03	4.255497e-03
0.0083        	2.101101e-01	3.387414e-03	4.173856e-03
0.0084        	2.122633e-01	3.418934e-03	4.110418e-03
0.0085        	2.343307e-01	3.471674e-03	4.043148e-03
0.0086        	2.264527e-01	3.494032e-03	3.977243e-03
0.0087        	2.166945e-01	3.452461e-03	3.918993e-03
0.0088        	2.076959e-01	3.343907e-03	3.874328e-03
0.0089        	1.982783e-01	3.210782e-03	3.845044e-03
0.009         	1.891146e-01	3.067834e-03	3.850107e-03
0.0091        	1.816497e-01	2.925852e-03	3.886078e-03
0.0092        	1.789209e-01	2.795635e-03	3.918118e-03
0.0093        	1.840678e-01	2.699789e-03	3.931767e-03
0.0094        	1.902333e-01	2.655391e-03	3.955392e-03
0.0095        	1.965260e-01	2.655946e-03	3.973738e-03
0.0096        	2.031516e-01	2.676402e-03	3.976358e-03
0.0097        	2.055445e-01	2.698951e-03	3.955488e-03
0.0098        	2.063498e-01	2.736800e-03	3.922789e-03
0.0099        	2.075039e-01	2.781037e-03	3.885834e-03
0.01          	2.113327e-01	2.811669e-03	3.856308e-03
0.0101        	2.205490e-01	2.831960e-03	3.828574e-03
0.0102        	2.252521e-01	2.842428e-03	3.798030e-03
0.0103        	2.219471e-01	2.851430e-03	3.789218e-03
0.0104        	2.162854e-01	2.873122e-03	3.797930e-03
0.0105        	2.120860e-01	2.888577e-03	3.791206e-03
0.0106        	2.079423e-01	2.882153e-03	3.770722e-03
0.0107        	2.013423e-01	2.857113e-03	3.735965e-03
0.0108        	1.949860e-01	2.810083e-03	3.691775e-03
0.0109        	1.945087e-01	2.750635e-03	3.655895e-03
0.011         	1.853994e-01	2.688080e-03	3.636561e-03
0.0111        	1.795225e-01	2.623828e-03	3.621156e-03
0.0112        	1.726185e-01	2.572990e-03	3.617313e-03
0.0113        	1.676539e-01	2.544922e-03	3.620992e-03
0.0114        	1.630994e-01	2.525012e-03	3.629602e-03
0.0115        	1.601519e-01	2.516722e-03	3.639207e-03
0.0116        	1.580797e-01	2.509647e-03	3.640084e-03
0.0117        	1.588666e-01	2.501109e-03	3.627812e-03
0.0118        	1.618818e-01	2.494231e-03	3.607689e-03
0.0119        	1.675831e-01	2.483244e-03	3.566931e-03
0.012         	2.031333e-01	2.474254e-03	3.524191e-03
0.0121        	1.877138e-01	2.471698e-03	3.485343e-03
0.0122        	1.788849e-01	2.471669e-03	3.445680e-03
0.0123        	1.715372e-01	2.474348e-03	3.417852e-03
0.0124        	1.650923e-01	2.472548e-03	3.401056e-03
0.0125        	1.600426e-01	2.469598e-03	3.397463e-03
0.0126        	1.554342e-01	2.468366e-03	3.402927e-03
0.0127        	1.537851e-01	2.469536e-03	3.413580e-03
0.0128        	1.561165e-01	2.470305e-03	3.423237e-03
0.0129        	1.599987e-01	2.452743e-03	3.418998e-03
0.013         	1.650887e-01	2.430539e-03	3.414683e-03
0.0131        	1.759064e-01	2.408589e-03	3.410612e-03
0.0132        	1.875832e-01	2.386134e-03	3.404932e-03
0.0133        	1.890746e-01	2.361323e-03	3.395730e-03
0.0134        	1.836897e-01	2.340923e-03	3.390582e-03
0.0135        	1.771879e-01	2.323473e-03	3.394940e-03
0.0136        	1.700703e-01	2.313054e-03	3.399907e-03
0.0137        	1.631431e-01	2.304518e-03	3.392279e-03
0.0138        	1.568997e-01	2.300997e-03	3.375844e-03
0.0139        	1.515963e-01	2.301068e-03	3.355068e-03
0.014         	1.470736e-01	2.296582e-03	3.327468e-03
0.0141        	1.423153e-01	2.289565e-03	3.290871e-03
0.0142        	1.397241e-01	2.290281e-03	3.248216e-03
0.0143        	1.384769e-01	2.298150e-03	3.210444e-03
0.0144        	1.388358e-01	2.299686e-03	3.180508e-03
0.0145        	1.360666e-01	2.292438e-03	3.166788e-03
0.0146        	1.324519e-01	2.283775e-03	3.155589e-03
0.0147        	1.300589e-01	2.274162e-03	3.144663e-03
0.0148        	1.261417e-01	2.264445e-03	3.134675e-03
0.0149        	1.241191e-01	2.252297e-03	3.122851e-03
0.015         	1.226439e-01	2.234783e-03	3.109388e-03
0.0151        	1.221553e-01	2.220317e-03	3.092913e-03
0.0152        	1.217524e-01	2.205013e-03	3.075955e-03
0.0153        	1.206714e-01	2.184082e-03	3.065072e-03
0.0154        	1.193627e-01	2.169120e-03	3.058312e-03
0.0155        	1.180836e-01	2.160292e-03	3.053606e-03
0.0156        	1.169300e-01	2.156121e-03	3.051594e-03
0.0157        	1.156116e-01	2.154142e-03	3.051648e-03
0.0158        	1.144610e-01	2.154691e-03	3.061633e-03
0.0159        	1.136908e-01	2.150219e-03	3.063310e-03
0.016         	1.134520e-01	2.145580e-03	3.061782e-03
0.0161        	1.146540e-01	2.140107e-03	3.056908e-03
0.0162        	1.152236e-01	2.133680e-03	3.051406e-03
0.0163        	1.175664e-01	2.126443e-03	3.044377e-03
0.0164        	1.221615e-01	2.119727e-03	3.037176e-03
0.0165        	1.293297e-01	2.110901e-03	3.024840e-03
0.0166        	1.345727e-01	2.101727e-03	3.012717e-03
0.0167        	1.358483e-01	2.092446e-03	3.001135e-03
0.0168        	1.348085e-01	2.085785e-03	2.991488e-03
0.0169        	1.332560e-01	2.079900e-03	2.983303e-03
0.017         	1.292518e-01	2.070341e-03	2.972967e-03
0.0171        	1.256456e-01	2.058840e-03	2.960277e-03
0.0172        	1.216384e-01	2.048649e-03	2.948216e-03
0.0173        	1.186702e-01	2.039941e-03	2.937792e-03
0.0174        	1.171298e-01	2.030372e-03	2.927794e-03
0.0175        	1.165965e-01	2.021205e-03	2.916275e-03
0.0176        	1.152939e-01	2.010801e-03	2.903841e-03
0.0177        	1.134746e-01	2.004090e-03	2.890748e-03
0.0178        	1.117341e-01	2.005346e-03	2.880924e-03
0.0179        	1.105523e-01	2.000302e-03	2.868780e-03
0.018         	1.100505e-01	1.994046e-03	2.854917e-03
0.0181        	1.098885e-01	1.986945e-03	2.842362e-03
0.0182        	1.114664e-01	1.979510e-03	2.829115e-03
0.0183        	1.121873e-01	1.973163e-03	2.815937e-03
0.0184        	1.122727e-01	1.966090e-03	2.802174e-03
0.0185        	1.127286e-01	1.957978e-03	2.789141e-03
0.0186        	1.126889e-01	1.949855e-03	2.777926e-03
0.0187        	1.131364e-01	1.942262e-03	2.765902e-03
0.0188        	1.139877e-01	1.934331e-03	2.753453e-03
0.0189        	1.148781e-01	1.926187e-03	2.740893e-03
